"term","frequency","density","occurrence"
"able",43,0.00059326710816777,0.076
"actually",72,0.000993377483443709,0.126
"ago",45,0.000620860927152318,0.078
"aug",68,0.000938189845474614,0.114
"can",401,0.00553256070640177,0.404
"chris",33,0.000455298013245033,0.044
"code",68,0.000938189845474614,0.06
"com",997,0.0137555187637969,0.624
"comes",22,0.000303532008830022,0.04
"command",19,0.000262141280353201,0.022
"compiled",10,0.000137969094922737,0.02
"created",13,0.000179359823399558,0.026
"cvs",21,0.000289735099337748,0.012
"cwg",13,0.000179359823399558,0.016
"date",46,0.000634657836644592,0.07
"dated",5,6.89845474613687e-05,0.01
"day",67,0.00092439293598234,0.09
"debug",4,5.51876379690949e-05,0.008
"deepeddy",17,0.000234547461368653,0.016
"delta",5,6.89845474613687e-05,0.006
"error",24,0.00033112582781457,0.034
"every",77,0.00106236203090508,0.114
"exec",11,0.000151766004415011,0.012
"exmh",97,0.00133830022075055,0.024
"explicit",1,1.37969094922737e-05,0.002
"expression",1,1.37969094922737e-05,0.002
"fad",11,0.000151766004415011,0.016
"fail",9,0.000124172185430464,0.018
"form",22,0.000303532008830022,0.036
"ftoc",1,1.37969094922737e-05,0.002
"ftp",82,0.00113134657836645,0.022
"fuchsia",1,1.37969094922737e-05,0.002
"garrigues",13,0.000179359823399558,0.016
"get",230,0.00317328918322296,0.274
"hand",28,0.000386313465783664,0.04
"happening",9,0.000124172185430464,0.018
"haven",19,0.000262141280353201,0.036
"hit",19,0.000262141280353201,0.028
"hits",6,8.27814569536424e-05,0.01
"https",28,0.000386313465783664,0.044
"ict",1,1.37969094922737e-05,0.002
"inbox",6,8.27814569536424e-05,0.008
"int",4,5.51876379690949e-05,0.006
"issue",44,0.000607064017660044,0.06
"kre",6,8.27814569536424e-05,0.012
"lbrace",8,0.00011037527593819,0.004
"like",216,0.00298013245033113,0.278
"line",45,0.000620860927152318,0.076
"list",336,0.00463576158940397,0.358
"listinfo",228,0.00314569536423841,0.4
"listman",13,0.000179359823399558,0.024
"local",46,0.000634657836644592,0.052
"log",19,0.000262141280353201,0.016
"mailing",71,0.000979580573951435,0.134
"mailman",223,0.00307671081677704,0.384
"mar",1,1.37969094922737e-05,0.002
"marking",2,2.75938189845475e-05,0.004
"mercury",4,5.51876379690949e-05,0.004
"message",115,0.00158664459161148,0.174
"mhparam",1,1.37969094922737e-05,0.002
"nmh",10,0.000137969094922737,0.008
"note",20,0.000275938189845475,0.036
"obviously",9,0.000124172185430464,0.018
"one",320,0.00441501103752759,0.324
"part",35,0.000482891832229581,0.064
"pick",44,0.000607064017660044,0.038
"pickmsgs",1,1.37969094922737e-05,0.002
"popup",1,1.37969094922737e-05,0.002
"profile",8,0.00011037527593819,0.01
"rbrace",8,0.00011037527593819,0.004
"reach",20,0.000275938189845475,0.036
"redhat",77,0.00106236203090508,0.068
"relevant",9,0.000124172185430464,0.018
"repeatable",1,1.37969094922737e-05,0.002
"repository",9,0.000124172185430464,0.014
"reproduce",3,4.13907284768212e-05,0.006
"routing",5,6.89845474613687e-05,0.006
"run",82,0.00113134657836645,0.102
"search",16,0.00022075055187638,0.026
"sel",1,1.37969094922737e-05,0.002
"seq",1,1.37969094922737e-05,0.002
"sequence",14,0.000193156732891832,0.008
"since",94,0.00129690949227373,0.144
"still",106,0.00146247240618102,0.148
"subject",149,0.00205573951434879,0.244
"sun",46,0.000634657836644592,0.058
"syntax",3,4.13907284768212e-05,0.006
"think",156,0.0021523178807947,0.166
"time",188,0.00259381898454746,0.26
"tkerror",1,1.37969094922737e-05,0.002
"tmda",4,5.51876379690949e-05,0.008
"today",39,0.000538079470198675,0.066
"using",89,0.00122792494481236,0.122
"version",42,0.000579470198675497,0.066
"vircio",14,0.000193156732891832,0.016
"wed",30,0.000413907284768212,0.042
"without",57,0.000786423841059603,0.092
"workers",41,0.000565673289183223,0.04
"works",50,0.000689845474613687,0.066
"admiring",1,1.37969094922737e-05,0.002
"alexander",1,1.37969094922737e-05,0.002
"amphitheatre",1,1.37969094922737e-05,0.002
"athos",1,1.37969094922737e-05,0.002
"behind",13,0.000179359823399558,0.02
"car",11,0.000151766004415011,0.012
"click",86,0.00118653421633554,0.17
"community",31,0.000427704194260486,0.056
"crowds",2,2.75938189845475e-05,0.004
"docs",86,0.00118653421633554,0.164
"dvds",47,0.000648454746136865,0.094
"east",7,9.65783664459161e-05,0.014
"egroups",79,0.00108995584988962,0.152
"email",141,0.0019453642384106,0.23
"far",58,0.000800220750551876,0.098
"fast",27,0.000372516556291391,0.046
"features",13,0.000179359823399558,0.024
"forteana",93,0.00128311258278146,0.154
"free",115,0.00158664459161148,0.176
"granite",2,2.75938189845475e-05,0.002
"greek",1,1.37969094922737e-05,0.002
"group",225,0.00310430463576159,0.368
"groups",171,0.00235927152317881,0.17
"gsolb",76,0.0010485651214128,0.152
"high",68,0.000938189845474614,0.094
"http",930,0.0128311258278146,0.77
"ideal",6,8.27814569536424e-05,0.012
"info",95,0.001310706401766,0.176
"join",63,0.000869205298013245,0.112
"judged",1,1.37969094922737e-05,0.002
"kerdylio",1,1.37969094922737e-05,0.002
"limestone",5,6.89845474613687e-05,0.004
"martin",18,0.000248344370860927,0.028
"mghaa",9,0.000124172185430464,0.018
"miles",7,9.65783664459161e-05,0.014
"monastic",1,1.37969094922737e-05,0.002
"mount",5,6.89845474613687e-05,0.008
"mountain",8,0.00011037527593819,0.014
"museum",3,4.13907284768212e-05,0.006
"now",214,0.00295253863134658,0.308
"nxieaa",45,0.000620860927152318,0.09
"papadopoulos",1,1.37969094922737e-05,0.002
"park",14,0.000193156732891832,0.02
"patriotic",1,1.37969094922737e-05,0.002
"plan",21,0.000289735099337748,0.038
"planned",6,8.27814569536424e-05,0.012
"posted",12,0.000165562913907285,0.02
"pretty",30,0.000413907284768212,0.052
"ptybb",45,0.000620860927152318,0.09
"restored",1,1.37969094922737e-05,0.002
"salonika",1,1.37969094922737e-05,0.002
"sculptor",2,2.75938189845475e-05,0.004
"sculpture",2,2.75938189845475e-05,0.004
"send",111,0.00153145695364238,0.198
"sponsor",83,0.00114514348785872,0.16
"tassos",1,1.37969094922737e-05,0.002
"terms",91,0.00125551876379691,0.168
"unsubscribe",166,0.00229028697571744,0.166
"use",261,0.00360099337748344,0.356
"weather",8,0.00011037527593819,0.016
"well",90,0.00124172185430464,0.146
"wide",7,9.65783664459161e-05,0.012
"yahoo",344,0.00474613686534216,0.182
"agencies",17,0.000234547461368653,0.008
"appeared",5,6.89845474613687e-05,0.008
"armed",1,1.37969094922737e-05,0.002
"attempt",4,5.51876379690949e-05,0.008
"august",61,0.000841611479028698,0.104
"authorities",3,4.13907284768212e-05,0.006
"automatic",5,6.89845474613687e-05,0.01
"available",40,0.000551876379690949,0.064
"away",30,0.000413907284768212,0.05
"ballet",1,1.37969094922737e-05,0.002
"blocks",3,4.13907284768212e-05,0.006
"blow",4,5.51876379690949e-05,0.008
"bolshoi",1,1.37969094922737e-05,0.002
"building",19,0.000262141280353201,0.032
"carrying",4,5.51876379690949e-05,0.008
"citing",2,2.75938189845475e-05,0.004
"claimed",12,0.000165562913907285,0.024
"continued",6,8.27814569536424e-05,0.01
"custody",1,1.37969094922737e-05,0.002
"demanded",2,2.75938189845475e-05,0.004
"details",19,0.000262141280353201,0.03
