"term","frequency","density","occurrence"
"access",109,0.000480748026286773,0.114
"affordable",17,7.49790499713315e-05,0.02
"align",1791,0.00789926344109734,0.352
"amailbot",3,1.32315970537644e-05,0.002
"arial",1263,0.00557050235963481,0.296
"aug",1174,0.00517796498037313,0.398
"best",165,0.000727737837957041,0.186
"black",99,0.000436642702774225,0.074
"body",464,0.00204648701098223,0.424
"bold",31,0.000136726502888899,0.036
"border",1318,0.00581308163895382,0.344
"bordercolor",208,0.000917390729060998,0.17
"btamail",37,0.000163189696996427,0.042
"buying",21,9.26211793763507e-05,0.034
"calyprintheader",1,4.4105323512548e-06,0.002
"calypso",4,1.76421294050192e-05,0.002
"can",448,0.00197591849336215,0.326
"cdd",1,4.4105323512548e-06,0.002
"cellpadding",482,0.00212587659330481,0.278
"cellspacing",488,0.00215233978741234,0.278
"center",1520,0.00670400917390729,0.382
"charset",586,0.00258457195783531,0.862
"click",394,0.00173774974639439,0.454
"coins",1,4.4105323512548e-06,0.002
"color",2170,0.00957085520222291,0.37
"colspan",414,0.00182596039341949,0.18
"com",4922,0.0217086402328761,0.948
"companies",82,0.000361663652802893,0.086
"compare",27,0.000119084373483879,0.03
"complete",93,0.000410179508666696,0.058
"content",1537,0.00677898822387862,0.92
"copperplate",3,1.32315970537644e-05,0.002
"country",91,0.000401358443964186,0.094
"coverage",16,7.05685176200767e-05,0.022
"date",575,0.00253605610197151,0.992
"dblack",3,1.32315970537644e-05,0.004
"dceka",1,4.4105323512548e-06,0.002
"dcenter",131,0.000577779738014378,0.024
"dcontent",12,5.29263882150576e-05,0.024
"delivered",501,0.00220967670797865,0.952
"dgenerator",7,3.08737264587836e-05,0.014
"display",14,6.17474529175672e-05,0.012
"disregard",4,1.76421294050192e-05,0.006
"dleft",11,4.85158558638028e-05,0.006
"dmiddle",26,0.000114673841132625,0.02
"dnone",1,4.4105323512548e-06,0.002
"doctype",34,0.000149958099942663,0.068
"dollars",118,0.000520442817448066,0.102
"drop",472,0.00208177126979226,0.93
"dtd",33,0.000145547567591408,0.066
"dth",2,8.82106470250959e-06,0.002
"dtop",2,8.82106470250959e-06,0.004
"dverdana",7,3.08737264587836e-05,0.004
"dwindows",31,0.000136726502888899,0.062
"eas",1,4.4105323512548e-06,0.002
"edt",264,0.00116438054073127,0.446
"email",618,0.00272570899307546,0.492
"encoding",396,0.0017465708110969,0.678
"end",34,0.000149958099942663,0.052
"ensurin",1,4.4105323512548e-06,0.002
"equiv",162,0.000714506240903277,0.238
"error",59,0.000260221408724033,0.11
"esmtp",1118,0.00493097516870286,0.986
"eve",2,8.82106470250959e-06,0.004
"even",79,0.000348432055749129,0.108
"face",2264,0.00998544524324086,0.346
